file_path,filename,title,creator,era,match_source
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\184 - The Jedi Academy_Champions of the Force.epub,184 - The Jedi Academy_Champions of the Force.epub,Book 3 - Champions of the Force,Kevin J. Anderson,,unmatched
"C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\185 - I, Jedi.epub","185 - I, Jedi.epub","Book 1 - I, Jedi",Michael A. Stackpole,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\186 - Children of the Jedi.epub,186 - Children of the Jedi.epub,Book 1 - Children of the Jedi,Barbara Hambly,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\187 - Darksaber.epub,187 - Darksaber.epub,Book 2 - Darksaber,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\188 - X-Wing_Starfighters of Adumar.epub,188 - X-Wing_Starfighters of Adumar.epub,Book 09 - Starfighters of Adumar,Aaron Allston,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\189 - Planet of Twilight.epub,189 - Planet of Twilight.epub,Book 3 - Planet of Twilight,Barbara Hambly,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\190 - The Crystal Star.epub,190 - The Crystal Star.epub,Book 1 - The Crystal Star,Vonda McIntyre,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\191 - The Black Fleet Crisis_Before the Storm.epub,191 - The Black Fleet Crisis_Before the Storm.epub,Book 1 - Before the Storm,Michael P. Kube-Mcdowell,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\192 - The Black Fleet Crisis_Shield of Lies.epub,192 - The Black Fleet Crisis_Shield of Lies.epub,Book 2 - Shield of Lies,Michael P. Kube-Mcdowell,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\193 - The Black Fleet Crisis_Tyrant's Test.epub,193 - The Black Fleet Crisis_Tyrant's Test.epub,Book 3 - Tyrant's Test,Michael P. Kube-Mcdowell,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\194 - The New Rebellion.epub,194 - The New Rebellion.epub,Book 1 - The New Rebellion,Kristine Kathryn Rusch,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\195 - The Corellian_Ambush at Corellia.epub,195 - The Corellian_Ambush at Corellia.epub,Book 1 - Ambush at Corellia,Roger Macbride Allen,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\196 - The Corellian_Assault at Selonia.epub,196 - The Corellian_Assault at Selonia.epub,Book 2 - Assault at Selonia,Roger Macbride Allen,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\197 - The Corellian_Showdown at Centerpoint.epub,197 - The Corellian_Showdown at Centerpoint.epub,Book 3 - Showdown at Centerpoint,Roger Macbride Allen,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\198 - The Hand of Thrawn_Specter of the Past.epub,198 - The Hand of Thrawn_Specter of the Past.epub,Book 1 - Specter of the Past,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\199 - The Hand of Thrawn_Vision of the Future.epub,199 - The Hand of Thrawn_Vision of the Future.epub,Book 2 - Vision of the Future,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\200 - Scourge.epub,200 - Scourge.epub,Book 1 - Scourge,Jeff Grubb,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\201 - Junior Jedi Knights_The Golden Globe.epub,201 - Junior Jedi Knights_The Golden Globe.epub,Book 1 - The Golden Globe,Nancy Richardson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\202 - Junior Jedi Knights_Lyric's World.epub,202 - Junior Jedi Knights_Lyric's World.epub,Book 2 - Lyric's World,Nancy Richardson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\203 - Junior Jedi Knights_Promises.epub,203 - Junior Jedi Knights_Promises.epub,Book 3 - Promises,Nancy Richardson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\204 - Junior Jedi Knights_Anakin's Quest.epub,204 - Junior Jedi Knights_Anakin's Quest.epub,Book 4 - Anakin's Quest,Rebecca Moesta,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\205 - Junior Jedi Knights_Vader's Fortress.epub,205 - Junior Jedi Knights_Vader's Fortress.epub,Book 5 - Vader's Fortress,Rebecca Moesta,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\206 - Junior Jedi Knights_Kenobi's Blade.epub,206 - Junior Jedi Knights_Kenobi's Blade.epub,Book 6 - Kenobi's Blade,Rebecca Moesta,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\207 - Fool's Bargain.epub,207 - Fool's Bargain.epub,Book 1 - Fool's Bargain,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\208 - Survivor's Quest.epub,208 - Survivor's Quest.epub,Book 2 - Survivor's Quest,Timothy Zahn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\209 - Young Jedi Knights_Heirs of the Force.epub,209 - Young Jedi Knights_Heirs of the Force.epub,Book 01 - Heirs of the Force,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\210 - Young Jedi Knights_Shadow Academy.epub,210 - Young Jedi Knights_Shadow Academy.epub,Book 02 - Shadow Academy,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\211 - Young Jedi Knights_The Lost Ones.epub,211 - Young Jedi Knights_The Lost Ones.epub,Book 03 - The Lost Ones,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\212 - Young Jedi Knights_Lightsabers.epub,212 - Young Jedi Knights_Lightsabers.epub,Book 04 - Lightsabers,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\213 - Young Jedi Knights_Darkest Knight.epub,213 - Young Jedi Knights_Darkest Knight.epub,Book 05 - Darkest Knight,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\214 - Young Jedi Knights_Jedi Under Siege.epub,214 - Young Jedi Knights_Jedi Under Siege.epub,Book 06 - Jedi Under Siege,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\215 - Young Jedi Knights_Shards of Alderaann.epub,215 - Young Jedi Knights_Shards of Alderaann.epub,Book 07 - Shards of Alderaan,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\216 - Young Jedi Knights_Diversity Alliance.epub,216 - Young Jedi Knights_Diversity Alliance.epub,Book 08 - Diversity Alliance,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\217 - Young Jedi Knights_Delusions of Grandeur.epub,217 - Young Jedi Knights_Delusions of Grandeur.epub,Book 09 - Delusions of Grandeur,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\218 - Young Jedi Knights_Jedi Bounty.epub,218 - Young Jedi Knights_Jedi Bounty.epub,Book 10 - Jedi Bounty,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\219 - Young Jedi Knights_The Emperor's Plague.epub,219 - Young Jedi Knights_The Emperor's Plague.epub,Book 11 - The Emperor's Plague,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\220 - Young Jedi Knights_Return to Ord Mantell.epub,220 - Young Jedi Knights_Return to Ord Mantell.epub,Book 12 - Return to Ord Mantell,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\221 - Young Jedi Knights_Trouble on Cloud City.epub,221 - Young Jedi Knights_Trouble on Cloud City.epub,Book 13 - Trouble on Cloud City,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\New Republic Era\Novels\222 - Young Jedi Knights_Crisis at Crystal Reef.epub,222 - Young Jedi Knights_Crisis at Crystal Reef.epub,Book 14 - Crisis at Crystal Reef,Kevin J. Anderson,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\003 - Lost Tribe of the Sith_The Collected Stories.epub,003 - Lost Tribe of the Sith_The Collected Stories.epub,Book 1 - The Collected Stories,John Jackson Miller,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\004 - The Old Republic_Revan.epub,004 - The Old Republic_Revan.epub,Book 1 - Revan,Drew Karpyshyn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\005 - The Old Republic_Deceived.epub,005 - The Old Republic_Deceived.epub,Book 2 - Deceived,Paul S. Kemp,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\006 - Red Harvest.epub,006 - Red Harvest.epub,Book 1 - Red Harvest,Joe Schreiber,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\007 - The Old Republic_Fatal Alliance.epub,007 - The Old Republic_Fatal Alliance.epub,Book 3 - Fatal Alliance,Sean Williams,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\008 -  The Old Republic_Annihilation.epub,008 -  The Old Republic_Annihilation.epub,Annihilation,Drew Karpyshyn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\009 - Knight Errant.epub,009 - Knight Errant.epub,Book 1 - Knight Errant,John Jackson Miller,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\010 - Darth Bane_Path of Destruction.epub,010 - Darth Bane_Path of Destruction.epub,Book 1 - Path of Destruction,Drew Karpyshyn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\011 - Darth Bane_Rule of Two.epub,011 - Darth Bane_Rule of Two.epub,Book 2 - Rule of Two,Drew Karpyshyn,,unmatched
C:\Users\lbouw\Downloads\Star_Wars_Books\Old Galactic Republic Era\Novels\012 - Darth Bane_Dynasty of Evil.epub,012 - Darth Bane_Dynasty of Evil.epub,Book 3 - Dynasty of Evil,Drew Karpyshyn,,unmatched
